"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\app.component.css", "CSS", 0, 49, 0, 2, 16, 67
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\app.component.html", "HTML", 0, 0, 2, 0, 4, 6
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\app.component.spec.ts", "TypeScript", 26, 0, 0, 1, 5, 32
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\app.component.ts", "TypeScript", 21, 0, 0, 18, 11, 50
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\app.module.ts", "TypeScript", 85, 0, 0, 6, 11, 102
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-button\login-button.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-button\login-button.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-button\login-button.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-button\login-button.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-menu\login-menu.component.css", "CSS", 0, 39, 0, 0, 14, 53
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-menu\login-menu.component.html", "HTML", 0, 0, 25, 4, 8, 37
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-menu\login-menu.component.spec.ts", "TypeScript", 20, 0, 0, 0, 5, 25
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\login-menu\login-menu.component.ts", "TypeScript", 63, 0, 0, 2, 27, 92
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\loginconfirmation\loginconfirmation.component.css", "CSS", 0, 42, 0, 0, 17, 59
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\loginconfirmation\loginconfirmation.component.html", "HTML", 0, 0, 22, 2, 9, 33
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\loginconfirmation\loginconfirmation.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\login\loginconfirmation\loginconfirmation.component.ts", "TypeScript", 89, 0, 0, 2, 26, 117
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\logout-button\logout-button.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\logout-button\logout-button.component.html", "HTML", 0, 0, 2, 0, 1, 3
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\logout-button\logout-button.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\logout-button\logout-button.component.ts", "TypeScript", 23, 0, 0, 0, 7, 30
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\changepassword\changepassword.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\changepassword\changepassword.component.html", "HTML", 0, 0, 17, 2, 8, 27
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\changepassword\changepassword.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\pc-gamer\Desktop\frontend-angular-employee\src\app\components\authentication\passwordmodification\changepassword\changepassword.component.ts", "TypeScript", 50, 0, 0, 0, 19, 69
